mpnn,bb,seq,count,B1,B2,B3
v8,36,1,0,0,0,0
v8,36,2,2,1,1,0
v8,36,3,1,0,1,0
v8,36,4,1,1,0,0
v8,36,5,0,0,0,0
v8,36,6,1,0,0,1
v8,36,7,0,0,0,0
v8,36,8,1,0,1,0
v8,36,9,0,0,0,0
v8,37,0,0,0,0,0
v8,37,1,0,0,0,0
v8,37,2,0,0,0,0
v8,37,3,0,0,0,0
v8,37,4,2,2,0,0
v8,37,5,0,0,0,0
v8,37,6,0,0,0,0
v8,37,7,1,0,0,1
v8,37,8,0,0,0,0
v8,37,9,0,0,0,0
v8,38,0,1,1,0,0
v8,38,1,1,1,0,0
v8,38,2,0,0,0,0
v8,38,3,1,1,0,0
v8,38,4,0,0,0,0
v8,38,5,0,0,0,0
v8,38,6,0,0,0,0
v8,38,7,0,0,0,0
v8,38,8,1,1,0,0
v8,38,9,0,0,0,0
v8,39,0,0,0,0,0
v8,39,1,1,1,0,0
v8,39,2,0,0,0,0
v8,39,3,0,0,0,0
v8,39,4,0,0,0,0
v8,39,5,4,2,2,0
v8,39,6,0,0,0,0
v8,39,7,0,0,0,0
v8,39,8,2,0,1,1
v8,39,9,3,1,1,1
v8,40,0,0,0,0,0
v8,40,1,0,0,0,0
v8,40,2,0,0,0,0
v8,40,3,0,0,0,0
v8,40,4,0,0,0,0
v8,40,5,1,1,0,0
v8,40,6,1,0,0,1
v8,40,7,0,0,0,0
v8,40,8,1,1,0,0
v8,40,9,0,0,0,0
v8,41,0,0,0,0,0
v8,41,1,0,0,0,0
v8,41,2,1,0,1,0
v8,41,3,1,0,1,0
v8,41,4,1,1,0,0
v8,41,5,1,0,1,0
v8,41,6,0,0,0,0
v8,41,7,0,0,0,0
v8,41,8,1,0,1,0
v8,41,9,0,0,0,0
v8,42,0,1,1,0,0
v8,42,1,2,1,0,1
v8,42,2,1,1,0,0
v8,42,3,1,1,0,0
v8,42,4,1,1,0,0
v8,42,5,0,0,0,0
v8,42,6,0,0,0,0
v8,42,7,0,0,0,0
v8,42,8,0,0,0,0
v8,42,9,0,0,0,0
v8,43,0,1,0,1,0
v8,43,1,0,0,0,0
v8,43,2,1,1,0,0
v8,43,3,0,0,0,0
v8,43,4,0,0,0,0
v8,43,5,1,1,0,0
v8,43,6,0,0,0,0
v8,43,7,0,0,0,0
v8,43,8,0,0,0,0
v8,43,9,0,0,0,0
v8,44,0,0,0,0,0
v8,44,1,0,0,0,0
v8,44,2,0,0,0,0
v8,44,3,2,0,2,0
v8,44,4,1,1,0,0
v8,44,5,1,1,0,0
v8,44,6,3,2,0,1
v8,44,7,3,1,2,0
v8,44,8,0,0,0,0
v8,44,9,3,1,1,1
v8,45,0,1,1,0,0
v8,45,1,1,0,0,1
v8,45,2,3,0,2,1
v8,45,3,2,2,0,0
v8,45,4,0,0,0,0
v8,45,5,1,1,0,0
v8,45,6,0,0,0,0
v8,45,7,0,0,0,0
v8,45,8,1,1,0,0
v8,45,9,0,0,0,0
v8,46,0,0,0,0,0
v8,46,1,0,0,0,0
v8,46,2,1,1,0,0
v8,46,3,0,0,0,0
v8,46,4,2,1,0,1
v8,46,5,1,1,0,0
v8,46,6,1,0,0,1
v8,46,7,1,1,0,0
v8,46,8,2,0,1,1
v8,46,9,0,0,0,0
v8,47,0,0,0,0,0
v8,47,1,0,0,0,0
v8,47,2,0,0,0,0
v8,47,3,0,0,0,0
v8,47,4,1,0,1,0
v8,47,5,0,0,0,0
v8,47,6,0,0,0,0
v8,47,7,3,2,0,1
v8,47,8,1,1,0,0
v8,47,9,0,0,0,0
v8,48,0,1,0,0,1
v8,48,1,1,1,0,0
v8,48,2,2,0,2,0
v8,48,3,1,1,0,0
v8,48,4,0,0,0,0
v8,48,5,4,3,0,1
v8,48,6,0,0,0,0
v8,48,7,2,2,0,0
v8,48,8,2,0,2,0
v8,48,9,1,1,0,0
v8,49,0,3,2,0,1
