mpnn,bb,seq,count,B1,B2,B3
v7,28,9,1,0,1,0
v7,29,0,2,0,2,0
v7,29,1,2,1,0,1
v7,29,2,0,0,0,0
v7,29,3,4,1,2,1
v7,29,4,1,0,0,1
v7,29,5,1,0,1,0
v7,29,6,1,0,0,1
v7,29,7,5,3,0,2
v7,29,8,1,0,0,1
v7,29,9,0,0,0,0
v7,30,0,2,2,0,0
v7,30,1,3,1,0,2
v7,30,2,0,0,0,0
v7,30,3,0,0,0,0
v7,30,4,1,1,0,0
v7,30,5,1,0,0,1
v7,30,6,1,1,0,0
v7,30,7,3,1,2,0
v7,30,8,0,0,0,0
v7,30,9,2,2,0,0
v7,31,0,0,0,0,0
v7,31,1,0,0,0,0
v7,31,2,2,1,0,1
v7,31,3,2,1,1,0
v7,31,4,2,0,2,0
v7,31,5,2,0,2,0
v7,31,6,2,2,0,0
v7,31,7,1,1,0,0
v7,31,8,0,0,0,0
v7,31,9,2,1,0,1
v7,32,0,0,0,0,0
v7,32,1,0,0,0,0
v7,32,2,0,0,0,0
v7,32,3,0,0,0,0
v7,32,4,0,0,0,0
v7,32,5,1,1,0,0
v7,32,6,3,2,0,1
v7,32,7,1,0,1,0
v7,32,8,2,0,2,0
v7,32,9,1,0,1,0
v7,33,0,1,1,0,0
v7,33,1,2,0,0,2
v7,33,2,1,1,0,0
v7,33,3,2,2,0,0
v7,33,4,0,0,0,0
v7,33,5,2,1,0,1
v7,33,6,1,0,0,1
v7,33,7,1,1,0,0
v7,33,8,2,0,2,0
v7,33,9,0,0,0,0
v7,34,0,1,1,0,0
v7,34,1,2,0,0,2
v7,34,2,3,1,2,0
v7,34,3,2,2,0,0
v7,34,4,2,0,2,0
v7,34,5,3,2,0,1
v7,34,6,3,3,0,0
v7,34,7,0,0,0,0
v7,34,8,2,1,0,1
v7,34,9,2,0,2,0
v7,35,0,0,0,0,0
v7,35,1,1,0,0,1
v7,35,2,0,0,0,0
v7,35,3,0,0,0,0
v7,35,4,3,1,0,2
v7,35,5,0,0,0,0
v7,35,6,1,1,0,0
v7,35,7,3,2,0,1
v7,35,8,1,1,0,0
v7,35,9,0,0,0,0
v7,36,0,2,0,2,0
v7,36,1,2,2,0,0
v7,36,2,5,2,2,1
v7,36,3,1,1,0,0
v7,36,4,1,1,0,0
v7,36,5,1,0,0,1
v7,36,6,0,0,0,0
v7,36,7,3,1,2,0
v7,36,8,0,0,0,0
v7,36,9,2,1,1,0
