mpnn,bb,seq,count,B1,B2,B3
v2,29,2,0,0,0,0
v2,29,3,0,0,0,0
v2,29,4,0,0,0,0
v2,29,5,0,0,0,0
v2,29,6,0,0,0,0
v2,29,7,0,0,0,0
v2,29,8,0,0,0,0
v2,29,9,1,1,0,0
v2,30,0,0,0,0,0
v2,30,1,0,0,0,0
v2,30,2,0,0,0,0
v2,30,3,0,0,0,0
v2,30,4,1,1,0,0
v2,30,5,0,0,0,0
v2,30,6,0,0,0,0
v2,30,7,2,2,0,0
v2,30,8,4,4,0,0
v2,30,9,0,0,0,0
v2,31,0,0,0,0,0
v2,31,1,1,1,0,0
v2,31,2,0,0,0,0
v2,31,3,0,0,0,0
v2,31,4,0,0,0,0
v2,31,5,0,0,0,0
v2,31,6,0,0,0,0
v2,31,7,0,0,0,0
v2,31,8,0,0,0,0
v2,31,9,0,0,0,0
v2,32,0,0,0,0,0
v2,32,1,0,0,0,0
v2,32,2,0,0,0,0
v2,32,3,1,1,0,0
v2,32,4,0,0,0,0
v2,32,5,0,0,0,0
v2,32,6,1,1,0,0
v2,32,7,0,0,0,0
v2,32,8,0,0,0,0
v2,32,9,0,0,0,0
v2,33,0,0,0,0,0
v2,33,1,0,0,0,0
v2,33,2,0,0,0,0
v2,33,3,0,0,0,0
v2,33,4,0,0,0,0
v2,33,5,0,0,0,0
v2,33,6,0,0,0,0
v2,33,7,0,0,0,0
v2,33,8,2,2,0,0
v2,33,9,0,0,0,0
v2,34,0,0,0,0,0
v2,34,1,0,0,0,0
v2,34,2,0,0,0,0
v2,34,3,0,0,0,0
v2,34,4,1,1,0,0
v2,34,5,0,0,0,0
v2,34,6,0,0,0,0
v2,34,7,0,0,0,0
v2,34,8,0,0,0,0
v2,34,9,0,0,0,0
v2,35,0,1,1,0,0
v2,35,1,0,0,0,0
v2,35,2,0,0,0,0
v2,35,3,0,0,0,0
v2,35,4,0,0,0,0
v2,35,5,0,0,0,0
v2,35,6,0,0,0,0
v2,35,7,0,0,0,0
v2,35,8,0,0,0,0
v2,35,9,2,2,0,0
v2,36,0,0,0,0,0
v2,36,1,0,0,0,0
v2,36,2,1,1,0,0
v2,36,3,0,0,0,0
v2,36,4,0,0,0,0
v2,36,5,0,0,0,0
v2,36,6,0,0,0,0
v2,36,7,0,0,0,0
v2,36,8,0,0,0,0
v2,36,9,0,0,0,0
v2,37,0,0,0,0,0
v2,37,1,1,1,0,0
v2,37,2,1,1,0,0
v2,37,3,0,0,0,0
v2,37,4,0,0,0,0
v2,37,5,0,0,0,0
v2,37,6,1,1,0,0
v2,37,7,0,0,0,0
v2,37,8,1,1,0,0
v2,37,9,0,0,0,0
v2,38,0,0,0,0,0
v2,38,1,0,0,0,0
v2,38,2,0,0,0,0
v2,38,3,0,0,0,0
v2,38,4,0,0,0,0
v2,38,5,1,1,0,0
v2,38,6,2,2,0,0
v2,38,7,0,0,0,0
v2,38,8,0,0,0,0
v2,38,9,0,0,0,0
v2,39,0,0,0,0,0
v2,39,1,0,0,0,0
v2,39,2,0,0,0,0
v2,39,3,0,0,0,0
v2,39,4,0,0,0,0
v2,39,5,0,0,0,0
v2,39,6,1,1,0,0
v2,39,7,0,0,0,0
v2,39,8,0,0,0,0
v2,39,9,0,0,0,0
v2,40,0,0,0,0,0
v2,40,1,1,1,0,0
v2,40,2,0,0,0,0
v2,40,3,0,0,0,0
v2,40,4,0,0,0,0
v2,40,5,0,0,0,0
v2,40,6,0,0,0,0
v2,40,7,0,0,0,0
v2,40,8,0,0,0,0
v2,40,9,1,1,0,0
v2,41,0,0,0,0,0
v2,41,1,0,0,0,0
v2,41,2,1,1,0,0
v2,41,3,0,0,0,0
v2,41,4,0,0,0,0
v2,41,5,0,0,0,0
v2,41,6,0,0,0,0
v2,41,7,0,0,0,0
v2,41,8,0,0,0,0
v2,41,9,2,2,0,0
v2,42,0,1,1,0,0
v2,42,1,0,0,0,0
v2,42,2,1,1,0,0
v2,42,3,0,0,0,0
v2,42,4,0,0,0,0
v2,42,5,0,0,0,0
v2,42,6,0,0,0,0
v2,42,7,1,1,0,0
v2,42,8,1,1,0,0
v2,42,9,0,0,0,0
v2,43,0,0,0,0,0
v2,43,1,0,0,0,0
v2,43,2,1,1,0,0
v2,43,3,0,0,0,0
v2,43,4,1,1,0,0
v2,43,5,0,0,0,0
v2,43,6,0,0,0,0
v2,43,7,1,1,0,0
v2,43,8,0,0,0,0
v2,43,9,0,0,0,0
v2,44,0,1,1,0,0
v2,44,1,0,0,0,0
v2,44,2,0,0,0,0
v2,44,3,0,0,0,0
v2,44,4,0,0,0,0
v2,44,5,0,0,0,0
v2,44,6,0,0,0,0
v2,44,7,1,1,0,0
v2,44,8,0,0,0,0
v2,44,9,2,2,0,0
v2,45,0,0,0,0,0
v2,45,1,0,0,0,0
v2,45,2,1,1,0,0
v2,45,3,1,1,0,0
v2,45,4,0,0,0,0
v2,45,5,0,0,0,0
v2,45,6,1,1,0,0
v2,45,7,0,0,0,0
v2,45,8,1,1,0,0
v2,45,9,4,4,0,0
v2,46,0,2,2,0,0
v2,46,1,0,0,0,0
v2,46,2,0,0,0,0
v2,46,3,1,1,0,0
v2,46,4,0,0,0,0
v2,46,5,0,0,0,0
v2,46,6,0,0,0,0
v2,46,7,1,1,0,0
v2,46,8,0,0,0,0
v2,46,9,0,0,0,0
v2,47,0,0,0,0,0
v2,47,1,0,0,0,0
v2,47,2,1,1,0,0
v2,47,3,0,0,0,0
v2,47,4,2,2,0,0
v2,47,5,2,2,0,0
v2,47,6,1,1,0,0
v2,47,7,0,0,0,0
v2,47,8,0,0,0,0
v2,47,9,0,0,0,0
v2,48,0,1,1,0,0
v2,48,1,1,1,0,0
v2,48,2,0,0,0,0
